Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Beth Charron-Rowberry,Audrey Festeryga,Andrew George,Chris Lewis,Jeremy Palko,Nancy Pancheshan,Tracey Ramsey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35026,"Essex/Essex"," 30","Lakeshore",20,34,0,91,0,3,68,1,217,521
35026,"Essex/Essex"," 31","Lakeshore",11,35,0,86,0,0,48,1,181,409
35026,"Essex/Essex"," 32","Lakeshore",32,23,1,106,0,3,51,4,220,432
35026,"Essex/Essex"," 33","Lakeshore",17,25,0,54,2,2,44,0,144,354
35026,"Essex/Essex"," 34","Lakeshore",23,26,0,62,0,5,49,1,166,498
35026,"Essex/Essex"," 35","Lakeshore",17,25,0,53,0,8,73,0,176,429
35026,"Essex/Essex"," 36","Lakeshore",43,24,2,54,0,3,70,1,197,498
35026,"Essex/Essex"," 37","Lakeshore",23,25,0,72,0,1,82,0,203,568
35026,"Essex/Essex"," 38","Lakeshore",30,17,0,35,0,4,59,1,146,501
35026,"Essex/Essex"," 39","Lakeshore",40,32,0,75,0,3,94,0,244,698
35026,"Essex/Essex"," 40A","Lakeshore",21,45,0,86,2,2,74,2,232,548
35026,"Essex/Essex"," 40B","Lakeshore",18,29,0,124,0,3,82,1,257,637
35026,"Essex/Essex"," 41","Lakeshore",12,34,0,64,0,1,48,0,159,452
35026,"Essex/Essex"," 42","Lakeshore",12,15,0,59,0,3,41,1,131,284
35026,"Essex/Essex"," 43","Lakeshore",25,17,0,79,0,0,58,0,179,459
35026,"Essex/Essex"," 44","Lakeshore",17,25,0,80,0,3,47,0,172,379
35026,"Essex/Essex"," 45","Lakeshore",13,29,0,81,0,1,67,0,191,553
35026,"Essex/Essex"," 46","Lakeshore",18,11,1,57,0,0,42,0,129,381
35026,"Essex/Essex"," 47","Lakeshore",17,10,0,66,1,7,30,0,131,386
35026,"Essex/Essex"," 48","Lakeshore",20,41,0,88,0,5,39,2,195,533
35026,"Essex/Essex"," 49","Lakeshore",22,35,1,98,0,1,66,0,223,516
35026,"Essex/Essex"," 50","Lakeshore",25,40,0,131,0,2,80,1,279,525
35026,"Essex/Essex"," 51","LaSalle",5,40,0,61,0,4,46,0,156,440
35026,"Essex/Essex"," 52","LaSalle",8,38,0,49,3,0,35,1,134,394
35026,"Essex/Essex"," 53","LaSalle",3,33,0,38,0,0,19,0,93,351
35026,"Essex/Essex"," 54","LaSalle",8,40,1,75,0,2,47,0,173,534
35026,"Essex/Essex"," 55","LaSalle",3,21,0,20,0,0,10,0,54,484
35026,"Essex/Essex"," 56","LaSalle",6,18,0,39,1,0,32,0,96,418
35026,"Essex/Essex"," 57","LaSalle",16,56,0,61,2,3,55,0,193,603
35026,"Essex/Essex"," 58","LaSalle",14,32,0,75,0,1,40,0,162,392
35026,"Essex/Essex"," 59","LaSalle",17,41,0,57,1,2,65,1,184,466
35026,"Essex/Essex"," 60","LaSalle",8,39,0,63,0,0,49,1,160,442
35026,"Essex/Essex"," 61","LaSalle",11,32,0,53,0,2,62,0,160,349
35026,"Essex/Essex"," 62","LaSalle",19,52,0,100,0,6,79,2,258,636
35026,"Essex/Essex"," 63","LaSalle",7,57,0,72,4,2,49,0,191,506
35026,"Essex/Essex"," 64","LaSalle",5,35,1,73,1,1,26,0,142,433
35026,"Essex/Essex"," 65","LaSalle",11,51,0,102,0,3,60,0,227,556
35026,"Essex/Essex"," 66","LaSalle",13,46,0,102,0,1,61,0,223,541
35026,"Essex/Essex"," 67","LaSalle",9,36,0,60,0,0,90,1,196,422
35026,"Essex/Essex"," 68","LaSalle",17,38,1,91,1,5,67,2,222,563
35026,"Essex/Essex"," 69","LaSalle",9,29,3,59,0,3,51,2,156,445
35026,"Essex/Essex"," 70","LaSalle",7,27,1,78,0,2,101,3,219,554
35026,"Essex/Essex"," 71","LaSalle",5,54,0,70,1,2,70,2,204,502
35026,"Essex/Essex"," 72","LaSalle",21,39,0,64,1,3,102,0,230,502
35026,"Essex/Essex"," 73","LaSalle",14,35,0,88,1,4,94,0,236,464
35026,"Essex/Essex"," 74","LaSalle",12,37,0,87,1,2,95,0,234,470
35026,"Essex/Essex"," 75","LaSalle",9,32,0,71,1,2,62,0,177,453
35026,"Essex/Essex"," 76","LaSalle",22,20,0,58,0,2,48,2,152,396
35026,"Essex/Essex"," 77","LaSalle",19,39,1,105,0,2,99,3,268,551
35026,"Essex/Essex"," 78","LaSalle",26,72,2,93,3,3,124,0,323,645
35026,"Essex/Essex"," 79","LaSalle",17,45,2,91,0,3,58,1,217,648
35026,"Essex/Essex"," 80","LaSalle",13,44,1,48,1,1,78,0,186,462
35026,"Essex/Essex"," 81","LaSalle",17,49,0,55,0,2,70,0,193,439
35026,"Essex/Essex"," 82","LaSalle",20,40,0,52,1,1,48,0,162,374
35026,"Essex/Essex"," 83","LaSalle",10,57,2,84,1,4,74,1,233,599
35026,"Essex/Essex"," 84","LaSalle",16,73,0,109,1,3,120,1,323,774
35026,"Essex/Essex"," 85","LaSalle",18,73,1,177,1,1,96,0,367,1008
35026,"Essex/Essex"," 86","LaSalle",8,22,0,73,1,1,73,1,179,482
35026,"Essex/Essex"," 87","LaSalle",18,47,2,76,0,2,63,2,210,520
35026,"Essex/Essex"," 88","LaSalle",19,27,0,56,1,1,48,0,152,434
35026,"Essex/Essex"," 89","LaSalle",15,25,0,78,0,4,65,1,188,539
35026,"Essex/Essex"," 90","LaSalle",14,18,0,63,0,2,63,0,160,374
35026,"Essex/Essex"," 91","LaSalle",23,20,1,68,0,1,69,2,184,447
35026,"Essex/Essex"," 92","LaSalle",18,4,0,30,0,2,18,1,73,157
35026,"Essex/Essex"," 93","LaSalle",12,48,0,58,0,0,69,0,187,420
35026,"Essex/Essex"," 94","LaSalle",12,43,0,70,0,1,83,0,209,410
35026,"Essex/Essex"," 95","LaSalle",20,37,1,93,0,4,53,1,209,426
35026,"Essex/Essex"," 96","Essex",28,19,0,88,1,2,79,3,220,544
35026,"Essex/Essex"," 97","Essex",15,26,2,62,2,6,84,1,198,540
35026,"Essex/Essex"," 98","Essex",27,13,0,70,0,3,83,1,197,499
35026,"Essex/Essex"," 99","LaSalle",7,32,0,57,0,5,44,1,146,392
35026,"Essex/Essex"," 100","LaSalle",36,47,0,130,1,10,94,0,318,821
35026,"Essex/Essex"," 101","LaSalle",14,30,0,69,1,3,94,0,211,554
35026,"Essex/Essex"," 102","LaSalle",29,44,0,88,0,3,85,0,249,549
35026,"Essex/Essex"," 103","LaSalle",31,35,3,116,1,4,82,2,274,561
35026,"Essex/Essex"," 104","LaSalle",18,41,1,81,1,1,65,1,209,499
35026,"Essex/Essex"," 105","Essex",37,27,1,101,0,5,95,1,267,608
35026,"Essex/Essex"," 106","Essex",11,25,1,54,1,5,70,1,168,504
35026,"Essex/Essex"," 107","Essex",25,16,2,74,1,5,92,4,219,607
35026,"Essex/Essex"," 108","Essex",34,25,1,55,2,2,93,3,215,384
35026,"Essex/Essex"," 109","Essex",18,17,0,58,1,3,89,0,186,388
35026,"Essex/Essex"," 110","Essex",24,17,0,81,0,3,68,0,193,577
35026,"Essex/Essex"," 111","Kingsville",22,21,1,91,0,2,91,1,229,530
35026,"Essex/Essex"," 112","Essex",14,19,0,55,0,2,58,1,149,391
35026,"Essex/Essex"," 113","Essex",16,26,0,107,0,2,94,3,248,581
35026,"Essex/Essex"," 114","Kingsville",39,22,3,90,2,4,98,0,258,674
35026,"Essex/Essex"," 115","Kingsville",34,24,2,102,0,3,72,0,237,461
35026,"Essex/Essex"," 116","Kingsville",28,14,0,108,2,1,60,0,213,461
35026,"Essex/Essex"," 117","Kingsville",33,28,0,101,0,1,57,1,221,531
35026,"Essex/Essex"," 118","Amherstburg",13,44,0,80,1,7,94,0,239,431
35026,"Essex/Essex"," 119","Amherstburg",15,41,1,119,0,6,96,0,278,524
35026,"Essex/Essex"," 120","Amherstburg",12,25,0,52,1,0,47,3,140,375
35026,"Essex/Essex"," 121","Amherstburg",18,21,0,68,1,3,47,0,158,376
35026,"Essex/Essex"," 122","Essex",18,11,0,75,0,1,33,1,139,386
35026,"Essex/Essex"," 123","Essex",11,17,0,78,0,5,35,1,147,348
35026,"Essex/Essex"," 124","Kingsville",21,9,0,78,2,1,45,2,158,332
35026,"Essex/Essex"," 125","Kingsville",13,30,1,102,0,1,71,0,218,422
35026,"Essex/Essex"," 126","Kingsville",36,28,1,101,0,2,83,2,253,496
35026,"Essex/Essex"," 127","Kingsville",22,31,0,124,0,2,93,3,275,562
35026,"Essex/Essex"," 128","Essex",12,15,0,29,3,3,43,0,105,315
35026,"Essex/Essex"," 129","Essex",7,22,0,40,1,0,42,0,112,333
35026,"Essex/Essex"," 130","Essex",21,21,0,62,0,2,80,0,186,559
35026,"Essex/Essex"," 131","Essex",18,14,0,82,1,4,56,1,176,460
35026,"Essex/Essex"," 132","Essex",21,17,0,77,0,3,72,0,190,486
35026,"Essex/Essex"," 133","Essex",30,25,0,78,0,2,60,0,195,493
35026,"Essex/Essex"," 134","Essex",19,43,0,104,1,3,66,1,237,571
35026,"Essex/Essex"," 135","Amherstburg",14,22,0,96,0,1,64,0,197,491
35026,"Essex/Essex"," 136","Amherstburg",16,20,0,75,0,3,53,0,167,450
35026,"Essex/Essex"," 137","Amherstburg",16,48,1,103,1,2,99,1,271,613
35026,"Essex/Essex"," 138","Amherstburg",9,28,0,68,1,0,21,0,127,361
35026,"Essex/Essex"," 139","Amherstburg",2,19,0,56,0,4,32,0,113,266
35026,"Essex/Essex"," 140","Amherstburg",13,50,1,101,1,1,65,0,232,581
35026,"Essex/Essex"," 141","Amherstburg",26,55,3,136,2,7,129,0,358,809
35026,"Essex/Essex"," 142","Amherstburg",13,22,0,45,0,1,87,0,168,416
35026,"Essex/Essex"," 143","Amherstburg",17,39,0,60,0,3,63,0,182,488
35026,"Essex/Essex"," 144","Amherstburg",13,28,0,71,1,2,47,2,164,428
35026,"Essex/Essex"," 145","Kingsville",26,18,0,70,0,5,58,1,178,483
35026,"Essex/Essex"," 146","Kingsville",22,21,0,87,0,1,47,2,180,529
35026,"Essex/Essex"," 147","Kingsville",16,48,1,92,0,5,73,4,239,621
35026,"Essex/Essex"," 148","Kingsville",9,17,0,50,0,3,38,1,118,443
35026,"Essex/Essex"," 149","Kingsville",63,27,2,107,0,4,28,1,232,551
35026,"Essex/Essex"," 150","Kingsville",34,24,0,105,0,2,42,2,209,494
35026,"Essex/Essex"," 151","Kingsville",55,31,1,120,2,3,43,2,257,608
35026,"Essex/Essex"," 152","Kingsville",8,43,1,70,1,4,35,0,162,448
35026,"Essex/Essex"," 153","Amherstburg",18,14,1,51,0,3,40,0,127,395
35026,"Essex/Essex"," 154","Amherstburg",10,24,0,34,1,2,58,0,129,386
35026,"Essex/Essex"," 155","Amherstburg",7,16,2,46,0,2,50,0,123,358
35026,"Essex/Essex"," 156","Amherstburg",9,23,1,51,0,2,66,0,152,479
35026,"Essex/Essex"," 157","Amherstburg",26,23,0,38,2,5,73,0,167,501
35026,"Essex/Essex"," 158","Amherstburg",5,17,0,66,0,1,69,0,158,445
35026,"Essex/Essex"," 159","Amherstburg",10,31,0,51,0,3,62,4,161,467
35026,"Essex/Essex"," 160","Amherstburg",9,24,0,54,0,1,52,0,140,422
35026,"Essex/Essex"," 161","Amherstburg",10,20,1,47,0,4,69,0,151,370
35026,"Essex/Essex"," 162","Amherstburg",16,16,0,51,1,2,64,0,150,388
35026,"Essex/Essex"," 163","Amherstburg",2,35,0,47,0,4,44,0,132,418
35026,"Essex/Essex"," 164","Amherstburg",7,18,1,58,0,2,46,0,132,358
35026,"Essex/Essex"," 165","Amherstburg",20,37,1,83,1,3,108,1,254,671
35026,"Essex/Essex"," 166","Amherstburg",7,22,0,59,0,0,64,0,152,413
35026,"Essex/Essex"," 167","Amherstburg",22,22,0,50,1,0,87,1,183,498
35026,"Essex/Essex"," 168","Amherstburg",6,11,0,60,0,0,60,0,137,426
35026,"Essex/Essex"," 169","Amherstburg",22,27,0,84,0,1,80,2,216,646
35026,"Essex/Essex"," 170","Kingsville",10,49,1,81,0,5,43,0,189,660
35026,"Essex/Essex"," 171","Kingsville",20,26,1,51,0,3,48,0,149,421
35026,"Essex/Essex"," 172","Amherstburg",13,7,1,16,0,1,44,0,82,375
35026,"Essex/Essex"," 173","Amherstburg",7,21,0,48,0,2,36,0,114,381
35026,"Essex/Essex"," 174","Amherstburg",9,16,1,27,1,4,47,0,105,419
35026,"Essex/Essex"," 175","Amherstburg",6,28,0,74,0,1,36,0,145,447
35026,"Essex/Essex"," 176","Kingsville",25,49,0,75,0,3,59,0,211,591
35026,"Essex/Essex"," 177","Kingsville",16,15,1,55,0,2,40,1,130,417
35026,"Essex/Essex"," 178","Kingsville",19,15,0,42,0,4,55,1,136,417
35026,"Essex/Essex"," 179","Kingsville",11,24,1,46,1,2,41,1,127,400
35026,"Essex/Essex"," 180","Kingsville",10,25,2,58,1,3,87,1,187,436
35026,"Essex/Essex"," 181","Kingsville",20,10,0,51,4,1,60,1,147,400
35026,"Essex/Essex"," 182","Kingsville",27,38,4,80,0,1,63,0,213,529
35026,"Essex/Essex"," 183","Kingsville",20,34,2,74,1,5,69,0,205,477
35026,"Essex/Essex"," 184","Essex",19,12,1,39,0,1,36,0,108,375
35026,"Essex/Essex"," 185","Essex",11,14,0,62,3,1,66,1,158,430
35026,"Essex/Essex"," 186","Essex",29,18,0,41,0,4,56,0,148,429
35026,"Essex/Essex"," 187","Essex",23,14,0,74,2,3,59,1,176,454
35026,"Essex/Essex"," 188","Essex",15,16,0,45,0,0,61,2,139,373
35026,"Essex/Essex"," 189","Essex",25,30,1,89,2,5,64,1,217,580
35026,"Essex/Essex"," 190","Essex",19,25,1,114,4,2,59,2,226,517
35026,"Essex/Essex"," 191","Essex",30,38,0,86,2,1,65,1,223,516
35026,"Essex/Essex"," 192","Essex",37,34,1,105,3,4,96,0,280,622
35026,"Essex/Essex"," 193","Essex",26,34,0,71,2,9,90,1,233,609
35026,"Essex/Essex"," 194","Amherstburg",14,12,2,85,0,1,35,0,149,428
35026,"Essex/Essex"," 195","Amherstburg",17,28,0,105,0,1,55,0,206,433
35026,"Essex/Essex"," 196","Amherstburg",18,15,0,54,0,1,33,0,121,417
35026,"Essex/Essex"," 197","Amherstburg",7,24,1,51,0,2,27,0,112,371
35026,"Essex/Essex"," 198","Amherstburg",19,21,0,80,0,0,53,0,173,550
35026,"Essex/Essex"," 199","Essex",17,19,0,75,0,4,46,1,162,386
35026,"Essex/Essex"," 200","Essex",9,24,0,83,2,0,41,2,161,417
35026,"Essex/Essex"," 201","Essex",20,28,1,70,2,3,43,0,167,362
35026,"Essex/Essex"," 202","Essex",10,45,0,75,0,4,56,0,190,488
35026,"Essex/Essex"," 203","Kingsville",19,18,0,57,0,1,58,0,153,381
35026,"Essex/Essex"," 204","Kingsville",31,36,0,68,0,6,51,0,192,565
35026,"Essex/Essex"," 205","Kingsville",32,30,1,97,1,2,64,1,228,512
35026,"Essex/Essex"," 206","Kingsville",19,38,0,82,0,3,43,1,186,431
35026,"Essex/Essex"," 207","Kingsville",13,39,0,88,1,0,40,0,181,428
35026,"Essex/Essex"," 208","Kingsville",17,25,0,79,0,1,43,0,165,482
35026,"Essex/Essex"," 209","Kingsville",30,14,1,70,0,3,30,0,148,431
35026,"Essex/Essex"," 210","Kingsville",21,29,0,98,0,5,63,3,219,547
35026,"Essex/Essex"," 211","Kingsville",11,33,1,57,0,3,33,0,138,396
35026,"Essex/Essex"," 212","Essex",17,18,0,70,0,3,71,2,181,546
35026,"Essex/Essex"," 213","Essex",29,42,0,96,2,0,75,2,246,569
35026,"Essex/Essex"," 500","Mobile poll/Bureau itinérant",1,13,0,5,0,0,8,0,27,87
35026,"Essex/Essex"," 501","Mobile poll/Bureau itinérant",0,27,0,14,1,0,16,1,59,112
35026,"Essex/Essex"," 502","Mobile poll/Bureau itinérant",0,1,1,3,0,1,4,0,10,20
35026,"Essex/Essex"," 503","Mobile poll/Bureau itinérant",2,14,0,4,2,0,14,0,36,72
35026,"Essex/Essex"," 504","Mobile poll/Bureau itinérant",0,9,1,7,2,0,3,0,22,73
35026,"Essex/Essex"," 505","Mobile poll/Bureau itinérant",0,19,1,28,0,3,14,0,65,85
35026,"Essex/Essex"," 506","Mobile poll/Bureau itinérant",0,5,1,12,1,0,5,3,27,38
35026,"Essex/Essex"," 507","Mobile poll/Bureau itinérant",0,9,0,15,0,0,12,0,36,60
35026,"Essex/Essex"," 508","Mobile poll/Bureau itinérant",0,10,0,13,1,0,9,0,33,80
35026,"Essex/Essex"," 509","Mobile poll/Bureau itinérant",0,13,1,12,0,1,13,3,43,104
35026,"Essex/Essex"," 510","Mobile poll/Bureau itinérant",0,13,0,7,1,0,5,0,26,63
35026,"Essex/Essex"," 511","Mobile poll/Bureau itinérant",2,25,1,26,0,2,16,2,74,135
35026,"Essex/Essex"," 512","Mobile poll/Bureau itinérant",2,17,0,15,0,1,7,4,46,91
35026,"Essex/Essex"," 600","Lakeshore",76,144,0,370,3,6,191,1,791,
35026,"Essex/Essex"," 601","Lakeshore",174,155,1,518,2,10,321,5,1186,
35026,"Essex/Essex"," 602","Lakeshore",164,176,1,544,2,13,442,11,1353,
35026,"Essex/Essex"," 603","Lakeshore",198,194,3,657,2,15,539,6,1614,
35026,"Essex/Essex"," 604","Lakeshore",194,149,0,544,2,8,338,7,1242,
35026,"Essex/Essex"," 605","Kingsville",161,73,1,398,1,7,150,0,791,
35026,"Essex/Essex"," 606","Essex",184,114,3,593,1,19,433,7,1354,
35026,"Essex/Essex"," 607","Amherstburg",152,178,6,682,1,8,480,2,1509,
35026,"Essex/Essex"," 608","LaSalle",114,239,1,535,3,15,357,5,1269,
35026,"Essex/Essex"," 609","LaSalle",70,203,2,470,5,10,334,5,1099,
35026,"Essex/Essex"," 610","LaSalle",77,292,7,527,7,20,414,9,1353,
35026,"Essex/Essex"," 611","LaSalle",94,171,0,465,3,14,446,8,1201,
35026,"Essex/Essex"," 612","LaSalle",97,159,2,432,3,17,386,3,1099,
35026,"Essex/Essex"," 613","Amherstburg",98,199,2,590,2,25,399,7,1322,
35026,"Essex/Essex"," 614","Amherstburg",147,248,4,604,5,12,576,5,1601,
35026,"Essex/Essex"," 615","Amherstburg",143,169,5,589,8,12,453,2,1381,
35026,"Essex/Essex"," 616","Essex",227,173,6,656,1,25,484,8,1580,
35026,"Essex/Essex"," 617","Kingsville",196,211,3,697,2,16,283,14,1422,
35026,"Essex/Essex"," 618","Kingsville",124,157,3,500,2,6,356,32,1180,
35026,"Essex/Essex"," 619","Kingsville",148,144,0,422,2,9,306,0,1031,
35026,"Essex/Essex",,Group 1/Groupe 1, 41,84,0,229,0,8,230,41,633,197
35026,"Essex/Essex",,Group 2/Groupe 2, 147,357,4,1029,2,19,803,58,2419,
