Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barry Balsom,Wayne Biggar,Lisa Bradshaw,Alex Clark,Bobby Morrissey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11003,"Egmont/Egmont"," 50","Summerside",36,5,21,23,69,0,154,374
11003,"Egmont/Egmont"," 51","Summerside",47,5,12,19,79,3,165,354
11003,"Egmont/Egmont"," 52","Summerside",45,5,21,23,70,3,167,332
11003,"Egmont/Egmont"," 53","Summerside",24,9,22,8,48,0,111,407
11003,"Egmont/Egmont"," 54","Summerside",22,10,18,25,59,0,134,424
11003,"Egmont/Egmont"," 55","Summerside",38,16,26,13,60,1,154,450
11003,"Egmont/Egmont"," 56","Summerside",33,5,9,22,66,4,139,493
11003,"Egmont/Egmont"," 57","Summerside",28,3,19,24,73,0,147,339
11003,"Egmont/Egmont"," 58","Summerside",22,4,20,12,61,0,119,310
11003,"Egmont/Egmont"," 59","Summerside",26,5,16,29,71,2,149,397
11003,"Egmont/Egmont"," 60","Summerside",24,3,18,14,51,1,111,320
11003,"Egmont/Egmont"," 61","Miscouche",51,13,15,42,70,1,192,460
11003,"Egmont/Egmont"," 62","Miscouche",57,7,16,40,69,0,189,411
11003,"Egmont/Egmont"," 63","Summerside",70,5,21,28,97,1,222,440
11003,"Egmont/Egmont"," 64","Summerside",34,5,24,21,66,1,151,405
11003,"Egmont/Egmont"," 65","Summerside",30,6,15,17,47,1,116,350
11003,"Egmont/Egmont"," 66","Summerside",36,6,27,15,55,3,142,366
11003,"Egmont/Egmont"," 67","Summerside",17,10,19,29,49,6,130,436
11003,"Egmont/Egmont"," 68","Summerside",16,8,21,18,27,2,92,327
11003,"Egmont/Egmont"," 69","Linkletter",35,10,16,24,87,2,174,424
11003,"Egmont/Egmont"," 70","Summerside",71,6,33,46,87,2,245,543
11003,"Egmont/Egmont"," 71","Wellington",51,11,21,16,61,2,162,419
11003,"Egmont/Egmont"," 72","St. Philip",40,12,11,11,75,2,151,343
11003,"Egmont/Egmont"," 73","Urbainville",66,13,15,25,75,5,199,377
11003,"Egmont/Egmont"," 74","Maximeville",67,24,11,34,94,1,231,434
11003,"Egmont/Egmont"," 75","St. Nicholas",50,18,12,16,43,0,139,258
11003,"Egmont/Egmont"," 76","Union Corner",58,18,11,28,107,1,223,418
11003,"Egmont/Egmont"," 500","Mobile poll/Bureau itinérant",6,0,1,0,36,1,44,47
11003,"Egmont/Egmont"," 501","Mobile poll/Bureau itinérant",3,1,1,0,21,1,27,38
11003,"Egmont/Egmont"," 502","Mobile poll/Bureau itinérant",4,0,0,0,12,1,17,45
11003,"Egmont/Egmont"," 503","Mobile poll/Bureau itinérant",4,0,4,0,8,1,17,29
11003,"Egmont/Egmont"," 504","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
11003,"Egmont/Egmont"," 505","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
11003,"Egmont/Egmont"," 506","Mobile poll/Bureau itinérant",3,3,2,0,16,0,24,79
11003,"Egmont/Egmont"," 507","Mobile poll/Bureau itinérant",8,0,1,2,17,0,28,57
11003,"Egmont/Egmont"," 508","Mobile poll/Bureau itinérant",9,4,1,3,17,1,35,66
11003,"Egmont/Egmont"," 509","Mobile poll/Bureau itinérant",19,3,5,6,31,1,65,88
11003,"Egmont/Egmont"," 510","Mobile poll/Bureau itinérant",4,1,0,0,17,0,22,29
11003,"Egmont/Egmont"," 511","Mobile poll/Bureau itinérant",15,1,1,1,19,0,37,40
11003,"Egmont/Egmont"," 600","Tignish",327,30,34,19,559,15,984,
11003,"Egmont/Egmont"," 601","Alberton",397,37,48,37,467,5,991,
11003,"Egmont/Egmont"," 602","O'Leary",337,51,57,34,364,21,864,
11003,"Egmont/Egmont"," 603","Tyne Valley",130,18,38,11,221,4,422,
11003,"Egmont/Egmont"," 604","Wellington",161,28,53,57,317,12,628,
11003,"Egmont/Egmont"," 605","Miscouche",175,24,46,64,294,6,609,
11003,"Egmont/Egmont"," 606","Summerside",176,25,29,53,279,14,576,
11003,"Egmont/Egmont"," 607","Summerside",243,26,68,83,383,6,809,
11003,"Egmont/Egmont"," 608","Summerside",140,32,36,78,264,15,565,
11003,"Egmont/Egmont"," 609","Summerside",213,18,53,60,305,7,656,
11003,"Egmont/Egmont",,Group 1/Groupe 1, 38,4,13,10,50,5,120,36
11003,"Egmont/Egmont",,Group 2/Groupe 2, 136,10,41,34,238,8,467,
