Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diandra Bruised Head,Brodie Heidinger,Glen Motz,Geoff Shoesmith,Jocelyn Stenger,Hannah Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 54","Medicine Hat",4,14,66,0,52,19,0,155,429
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 55","Medicine Hat",6,15,66,6,28,24,2,147,356
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 56","Medicine Hat",7,18,70,4,41,24,2,166,389
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 57","Medicine Hat",2,13,59,6,29,13,1,123,344
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 58","Medicine Hat",2,8,93,2,26,16,2,149,361
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 59","Medicine Hat",5,17,88,2,35,17,0,164,404
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 60","Medicine Hat",1,12,97,4,41,10,2,167,415
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 61","Medicine Hat",4,23,72,1,50,31,1,182,512
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 62","Medicine Hat",3,17,87,4,27,12,1,151,403
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 63","Medicine Hat",2,14,64,4,41,16,1,142,382
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 64","Medicine Hat",3,17,90,6,46,21,2,185,445
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 65","Medicine Hat",3,20,78,4,35,14,2,156,377
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 66","Medicine Hat",7,9,87,1,50,17,3,174,487
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 67","Medicine Hat",3,18,75,3,29,15,1,144,380
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 68","Medicine Hat",2,14,88,2,24,8,0,138,349
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 69","Medicine Hat",2,14,103,4,35,10,1,169,393
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 70","Medicine Hat",2,13,92,7,50,19,0,183,416
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 71","Medicine Hat",2,17,117,5,36,25,3,205,412
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 72","Medicine Hat",1,6,121,6,7,19,4,164,417
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 73","Medicine Hat",0,15,83,2,32,7,1,140,439
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 74","Medicine Hat",3,11,92,1,27,10,1,145,428
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 75","Medicine Hat",2,9,59,1,33,16,1,121,405
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 76","Medicine Hat",0,14,91,1,35,16,3,160,456
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 77","Medicine Hat",4,17,89,1,29,9,2,151,435
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 78","Medicine Hat",1,16,89,1,25,15,3,150,391
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 79","Medicine Hat",3,19,92,4,21,8,0,147,383
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 80A","Medicine Hat",3,15,71,1,25,15,1,131,301
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 80B","Medicine Hat",1,10,65,2,27,12,1,118,288
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 81","Medicine Hat",5,11,97,1,24,25,0,163,467
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 82","Medicine Hat",2,22,87,9,36,13,0,169,431
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 83","Medicine Hat",0,9,63,0,8,8,2,90,398
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 84","Medicine Hat",2,15,91,3,19,5,1,136,349
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 85","Medicine Hat",2,9,122,5,16,10,0,164,415
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 86","Medicine Hat",7,25,147,6,52,19,2,258,557
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 87","Medicine Hat",2,27,161,6,45,15,2,258,563
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 88","Medicine Hat",0,17,127,6,38,22,1,211,373
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 89A","Medicine Hat",1,3,86,2,7,8,0,107,330
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 89B","Mobile poll/Bureau itinérant",0,2,35,3,5,3,1,49,81
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 90","Medicine Hat",1,7,71,1,10,14,0,104,339
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 91","Medicine Hat",4,12,138,5,21,7,0,187,497
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 92","Medicine Hat",3,12,102,1,41,13,1,173,439
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 93","Medicine Hat",1,10,112,5,34,17,0,179,447
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 94","Medicine Hat",1,20,89,4,35,11,2,162,408
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 95","Medicine Hat",1,7,112,0,21,8,0,149,413
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 96","Medicine Hat",6,13,149,5,29,13,1,216,470
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 97","Medicine Hat",0,10,115,0,33,13,0,171,439
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 98","Medicine Hat",1,8,112,3,21,13,0,158,422
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 99","Medicine Hat",1,8,107,0,22,13,0,151,358
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 100","Medicine Hat",0,23,159,1,33,18,0,234,491
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 101","Medicine Hat",2,18,148,2,48,11,1,230,555
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 102","Medicine Hat",4,6,112,0,37,16,0,175,449
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 103A","Medicine Hat",0,9,134,0,21,10,0,174,361
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 103B","Medicine Hat",3,10,67,1,20,4,0,105,290
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 104","Blood 148",10,0,2,0,14,14,0,40,367
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 105","Blood 148",19,0,3,0,35,28,0,85,787
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 106","Blood 148",11,1,0,0,17,11,0,40,660
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 107","Blood 148",2,2,2,0,20,20,0,46,413
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 108","Blood 148",10,1,3,0,32,19,2,67,536
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 109","Medicine Hat",2,23,177,0,37,14,0,253,506
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 110","Medicine Hat",5,11,138,3,29,17,0,203,358
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 111","Medicine Hat",6,13,172,9,36,23,5,264,486
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 112","Medicine Hat",6,12,187,3,33,19,1,261,529
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 113A","Medicine Hat",4,12,86,1,42,15,2,162,428
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 113B","Medicine Hat",2,21,134,4,34,17,1,213,470
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 114","Medicine Hat",3,7,83,3,43,7,2,148,355
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 115","Medicine Hat",1,16,79,0,17,11,1,125,331
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 116","Medicine Hat",1,15,109,6,30,15,0,176,466
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 117","Medicine Hat",1,15,119,5,24,10,0,174,399
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 118","Medicine Hat",0,18,118,7,27,15,3,188,479
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 119","Medicine Hat",3,24,160,3,49,25,1,265,554
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 120","Medicine Hat",6,12,186,4,33,12,0,253,533
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 121A","Medicine Hat",1,8,98,2,21,7,1,138,285
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 121B","Medicine Hat",1,6,116,0,24,10,1,158,332
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 122","Medicine Hat",1,18,110,3,27,13,0,172,440
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 123","Medicine Hat",2,9,108,4,38,8,0,169,379
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 124","Medicine Hat",3,9,97,0,25,10,1,145,365
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 125","Medicine Hat",3,10,129,4,25,22,1,194,379
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 126","Medicine Hat",2,9,127,5,21,14,1,179,420
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 127","Bow Island",2,26,72,2,3,5,0,110,395
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 128","Bow Island",2,30,93,1,12,8,1,147,455
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 129","Bow Island",5,19,69,3,8,2,0,106,320
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 130","Bow Island",1,19,90,1,10,7,2,130,366
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 131","Bow Island",2,16,96,3,7,6,0,130,274
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 132","Juno",3,46,156,6,3,1,1,216,500
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 133A","Bullshead",1,14,132,7,29,15,0,198,310
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 133B","Bullshead",2,7,151,4,24,11,2,201,301
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 134","Bullshead",2,24,155,7,15,13,4,220,413
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 135","Bowmanton--Dunmore",2,10,106,5,21,10,0,154,363
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 136","Dunmore",5,13,135,8,16,8,0,185,455
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 137","Dunmore",1,16,153,11,17,5,0,203,437
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 138","Dunmore",1,20,156,3,14,4,1,199,439
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 139","Irvine",3,32,91,16,16,3,2,163,325
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 140","Irvine",2,33,108,31,9,4,0,187,332
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 141","Magrath",2,21,120,3,20,14,0,180,438
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 142","Magrath",1,12,123,5,18,8,3,170,431
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 143","Raymond",5,19,162,1,15,10,0,212,488
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 144","Raymond",7,23,103,3,14,2,0,152,354
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 145","Stirling",6,38,204,7,13,17,0,285,480
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 146","Stirling",2,33,173,3,16,1,0,228,390
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 147","Stirling",3,37,96,1,14,2,2,155,450
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 148","Seven Persons",3,26,209,9,15,8,2,272,478
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 149","Raymond",0,18,127,3,6,7,1,162,411
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 150","Raymond",1,24,99,4,23,11,2,164,448
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 151","Raymond",3,21,89,0,17,5,0,135,398
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 152","Raymond",6,16,123,0,10,3,1,159,384
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 153","Raymond",6,22,96,1,17,11,0,153,411
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 154","Raymond",1,23,195,4,14,10,0,247,479
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 155","Raymond",2,8,63,0,6,8,0,87,478
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 156","Welling",4,9,96,2,11,4,0,126,317
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 157","Magrath",2,18,118,6,17,6,0,167,413
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 158","Magrath",2,19,148,4,24,6,1,204,481
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 159","Magrath",1,16,79,7,5,4,2,114,368
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 160","Spring Coulee",0,18,41,1,4,0,2,66,358
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 161","Mountain View",2,23,158,4,8,2,0,197,378
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 162","Cardston",3,12,91,1,7,2,0,116,325
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 163","Cardston",6,13,103,3,8,4,1,138,416
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 164","Cardston",2,9,61,0,12,2,1,87,290
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 165","Cardston",1,12,149,1,3,0,0,166,406
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 166","Cardston",2,18,101,1,12,2,0,136,342
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 167","Cardston",2,15,128,2,3,1,0,151,380
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 168","Cardston",2,17,108,0,6,8,0,141,439
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 169","Leavitt",0,8,108,1,4,1,0,122,311
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 170","Aetna",2,10,132,3,3,3,0,153,421
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 171","Jefferson",1,16,76,5,3,2,0,103,377
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 172","Conrad",0,3,67,1,2,1,0,74,376
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 173","Warner",0,7,42,3,3,2,1,58,246
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 174","Warner",3,12,111,12,24,8,0,170,337
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 175","Foremost",2,21,105,5,5,5,0,143,376
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 176","Foremost",0,22,79,2,7,1,1,112,444
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 177","Etzikom",0,32,124,9,4,6,0,175,361
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 178","Del Bonita",2,4,48,1,3,3,0,61,165
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 179","Elkwater",2,5,73,7,6,2,1,96,278
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 180","Milk River",3,14,78,2,14,4,1,116,379
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 181","Milk River",0,6,64,4,8,5,1,88,297
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 182","Milk River",2,16,59,2,9,5,1,94,219
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 183","Coutts",2,25,98,3,13,3,0,144,234
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 184","Allerston",1,14,64,2,2,2,2,87,349
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 185","Manyberries",Merged with No./Fusionné avec le n°177,,,,,,,,228
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 400","Medicine Hat",1,6,93,1,18,18,2,139,192
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 401","Medicine Hat",2,7,72,1,5,9,1,97,170
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 402","Medicine Hat",1,8,105,4,15,19,3,155,224
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 500","Mobile poll/Bureau itinérant",0,0,1,1,0,0,0,2,4
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 501","Cardston",Merged with No./Fusionné avec le n°163,,,,,,,,13
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 502","Mobile poll/Bureau itinérant",1,0,34,0,3,1,1,40,57
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 503","Mobile poll/Bureau itinérant",1,0,20,1,0,1,1,24,45
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 504","Mobile poll/Bureau itinérant",Results combined with no. 158/Résultats combinés au n° 158,,,,,,,,15
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 505","Mobile poll/Bureau itinérant",0,1,23,2,1,1,1,29,33
