Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Christopher Adam,Salina Derish,Jeff Galbraith,Zeeshan Khan,Mark Strahl,Teri Westerby,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Chilliwack--Hope/Chilliwack--Hope"," 83","Chilliwack",0,8,4,92,119,20,0,243,535
59005,"Chilliwack--Hope/Chilliwack--Hope"," 84","Chilliwack",0,0,1,43,57,8,0,109,494
59005,"Chilliwack--Hope/Chilliwack--Hope"," 85","Chilliwack",0,7,2,54,99,8,0,170,483
59005,"Chilliwack--Hope/Chilliwack--Hope"," 86","Chilliwack",0,2,1,62,72,17,0,154,417
59005,"Chilliwack--Hope/Chilliwack--Hope"," 87","Chilliwack",0,5,2,64,81,17,0,169,363
59005,"Chilliwack--Hope/Chilliwack--Hope"," 88","Chilliwack",1,9,0,52,82,21,0,165,481
59005,"Chilliwack--Hope/Chilliwack--Hope"," 89","Chilliwack",1,6,0,47,94,11,1,160,458
59005,"Chilliwack--Hope/Chilliwack--Hope"," 90","Chilliwack",0,5,0,56,65,17,0,143,464
59005,"Chilliwack--Hope/Chilliwack--Hope"," 91","Chilliwack",0,2,0,44,100,9,0,155,426
59005,"Chilliwack--Hope/Chilliwack--Hope"," 92","Chilliwack",0,2,0,70,90,12,0,174,524
59005,"Chilliwack--Hope/Chilliwack--Hope"," 93","Chilliwack",1,4,4,79,101,22,0,211,570
59005,"Chilliwack--Hope/Chilliwack--Hope"," 94","Chilliwack",0,1,2,67,118,11,0,199,545
59005,"Chilliwack--Hope/Chilliwack--Hope"," 95","Chilliwack",0,1,1,33,124,9,0,168,451
59005,"Chilliwack--Hope/Chilliwack--Hope"," 96","Chilliwack",0,1,0,44,72,11,0,128,476
59005,"Chilliwack--Hope/Chilliwack--Hope"," 97","Chilliwack",0,4,1,49,91,3,0,148,409
59005,"Chilliwack--Hope/Chilliwack--Hope"," 98","Chilliwack",1,2,2,50,102,6,1,164,466
59005,"Chilliwack--Hope/Chilliwack--Hope"," 99","Chilliwack",0,1,1,43,64,15,1,125,412
59005,"Chilliwack--Hope/Chilliwack--Hope"," 100","Chilliwack",0,1,2,61,97,16,0,177,515
59005,"Chilliwack--Hope/Chilliwack--Hope"," 101","Chilliwack",0,5,1,79,99,8,1,193,606
59005,"Chilliwack--Hope/Chilliwack--Hope"," 102","Chilliwack",0,2,2,70,109,12,0,195,579
59005,"Chilliwack--Hope/Chilliwack--Hope"," 103","Chilliwack",0,1,1,53,82,10,0,147,442
59005,"Chilliwack--Hope/Chilliwack--Hope"," 104","Chilliwack",2,2,0,51,78,9,1,143,600
59005,"Chilliwack--Hope/Chilliwack--Hope"," 105","Chilliwack",0,0,1,24,31,7,0,63,370
59005,"Chilliwack--Hope/Chilliwack--Hope"," 106","Chilliwack",1,0,1,27,56,13,0,98,433
59005,"Chilliwack--Hope/Chilliwack--Hope"," 107","Chilliwack",0,4,1,42,99,8,1,155,425
59005,"Chilliwack--Hope/Chilliwack--Hope"," 108","Chilliwack",1,1,2,40,83,15,1,143,456
59005,"Chilliwack--Hope/Chilliwack--Hope"," 109","Chilliwack",0,0,2,52,55,6,0,115,451
59005,"Chilliwack--Hope/Chilliwack--Hope"," 110","Chilliwack",1,5,1,57,60,3,2,129,388
59005,"Chilliwack--Hope/Chilliwack--Hope"," 111","Chilliwack",0,1,0,52,101,5,1,160,474
59005,"Chilliwack--Hope/Chilliwack--Hope"," 112","Chilliwack",0,4,1,70,87,10,1,173,559
59005,"Chilliwack--Hope/Chilliwack--Hope"," 113","Chilliwack",0,8,0,73,109,9,1,200,620
59005,"Chilliwack--Hope/Chilliwack--Hope"," 114","Chilliwack",0,5,0,92,111,24,5,237,573
59005,"Chilliwack--Hope/Chilliwack--Hope"," 115","Chilliwack",0,2,1,65,105,26,0,199,561
59005,"Chilliwack--Hope/Chilliwack--Hope"," 116","Chilliwack",0,2,2,52,63,12,0,131,442
59005,"Chilliwack--Hope/Chilliwack--Hope"," 117","Chilliwack",0,3,1,57,101,13,2,177,388
59005,"Chilliwack--Hope/Chilliwack--Hope"," 118A","Chilliwack",0,4,1,83,120,13,1,222,596
59005,"Chilliwack--Hope/Chilliwack--Hope"," 118B","Chilliwack",Combined with No./Résultats combinés à ceux du n°117,,,,,,,,202
59005,"Chilliwack--Hope/Chilliwack--Hope"," 119","Chilliwack",0,2,3,45,190,4,1,245,536
59005,"Chilliwack--Hope/Chilliwack--Hope"," 120","Chilliwack",0,5,6,53,237,5,0,306,616
59005,"Chilliwack--Hope/Chilliwack--Hope"," 121","Chilliwack",1,1,2,50,238,4,0,296,591
59005,"Chilliwack--Hope/Chilliwack--Hope"," 122","Chilliwack",0,15,4,95,202,18,0,334,630
59005,"Chilliwack--Hope/Chilliwack--Hope"," 123","Chilliwack",0,3,1,66,79,16,1,166,481
59005,"Chilliwack--Hope/Chilliwack--Hope"," 124","Chilliwack",1,3,2,88,90,13,0,197,557
59005,"Chilliwack--Hope/Chilliwack--Hope"," 125","Chilliwack",0,6,2,72,90,5,0,175,517
59005,"Chilliwack--Hope/Chilliwack--Hope"," 126","Chilliwack",0,1,4,65,88,12,0,170,515
59005,"Chilliwack--Hope/Chilliwack--Hope"," 127","Chilliwack",0,2,0,59,72,18,1,152,473
59005,"Chilliwack--Hope/Chilliwack--Hope"," 128","Chilliwack",0,1,1,68,75,11,1,157,506
59005,"Chilliwack--Hope/Chilliwack--Hope"," 129","Chilliwack",1,2,3,71,101,25,1,204,722
59005,"Chilliwack--Hope/Chilliwack--Hope"," 130","Chilliwack",1,4,2,61,81,9,0,158,749
59005,"Chilliwack--Hope/Chilliwack--Hope"," 131","Tzeachten 13",1,4,0,67,132,19,0,223,783
59005,"Chilliwack--Hope/Chilliwack--Hope"," 132","Tzeachten 13",0,0,2,42,33,5,0,82,444
59005,"Chilliwack--Hope/Chilliwack--Hope"," 133","Tzeachten 13",0,2,0,52,35,14,0,103,420
59005,"Chilliwack--Hope/Chilliwack--Hope"," 134","Chilliwack",0,1,0,60,116,3,2,182,502
59005,"Chilliwack--Hope/Chilliwack--Hope"," 135","Chilliwack",1,7,3,84,248,10,0,353,558
59005,"Chilliwack--Hope/Chilliwack--Hope"," 136","Chilliwack",0,8,1,44,194,8,0,255,444
59005,"Chilliwack--Hope/Chilliwack--Hope"," 137","Chilliwack",1,7,0,81,184,16,0,289,521
59005,"Chilliwack--Hope/Chilliwack--Hope"," 138","Chilliwack",0,2,0,50,58,3,0,113,351
59005,"Chilliwack--Hope/Chilliwack--Hope"," 139","Chilliwack",0,4,4,57,165,26,0,256,464
59005,"Chilliwack--Hope/Chilliwack--Hope"," 140","Chilliwack",4,2,0,40,69,10,0,125,390
59005,"Chilliwack--Hope/Chilliwack--Hope"," 141","Chilliwack",0,2,2,30,146,2,0,182,486
59005,"Chilliwack--Hope/Chilliwack--Hope"," 141-1","Yakweakwioose 12",Combined with No./Résultats combinés à ceux du n°86,,,,,,,,41
59005,"Chilliwack--Hope/Chilliwack--Hope"," 142","Chilliwack",0,1,0,15,116,6,0,138,368
59005,"Chilliwack--Hope/Chilliwack--Hope"," 143","Popkum 1",0,3,0,37,121,9,0,170,504
59005,"Chilliwack--Hope/Chilliwack--Hope"," 144","Chilliwack",0,2,1,55,148,12,0,218,590
59005,"Chilliwack--Hope/Chilliwack--Hope"," 145","Chilliwack",0,2,0,41,121,5,0,169,449
59005,"Chilliwack--Hope/Chilliwack--Hope"," 146","Chilliwack",0,1,0,56,112,7,0,176,523
59005,"Chilliwack--Hope/Chilliwack--Hope"," 147","Popkum 1",1,1,0,59,108,23,1,193,571
59005,"Chilliwack--Hope/Chilliwack--Hope"," 148A","Chilliwack",0,1,1,38,129,3,0,172,437
59005,"Chilliwack--Hope/Chilliwack--Hope"," 148B","Chilliwack",0,2,0,31,103,8,0,144,394
59005,"Chilliwack--Hope/Chilliwack--Hope"," 149A","Chilliwack",0,3,0,51,84,10,0,148,379
59005,"Chilliwack--Hope/Chilliwack--Hope"," 149B","Chilliwack",2,2,0,33,86,8,0,131,339
59005,"Chilliwack--Hope/Chilliwack--Hope"," 150","Chilliwack",0,2,1,69,143,19,0,234,599
59005,"Chilliwack--Hope/Chilliwack--Hope"," 151","Chilliwack",0,2,3,86,98,13,2,204,493
59005,"Chilliwack--Hope/Chilliwack--Hope"," 152","Chilliwack",1,5,1,65,126,10,1,209,563
59005,"Chilliwack--Hope/Chilliwack--Hope"," 153","Chilliwack",0,5,1,80,132,18,1,237,580
59005,"Chilliwack--Hope/Chilliwack--Hope"," 154","Chilliwack",0,4,2,36,89,13,0,144,482
59005,"Chilliwack--Hope/Chilliwack--Hope"," 155","Chilliwack",0,1,0,52,89,11,0,153,484
59005,"Chilliwack--Hope/Chilliwack--Hope"," 156","Chilliwack",1,7,0,98,136,14,0,256,617
59005,"Chilliwack--Hope/Chilliwack--Hope"," 157","Chilliwack",0,0,2,68,153,14,2,239,696
59005,"Chilliwack--Hope/Chilliwack--Hope"," 158","Tzeachten 13",0,4,0,63,64,14,0,145,591
59005,"Chilliwack--Hope/Chilliwack--Hope"," 159","Tzeachten 13",0,2,0,71,110,10,0,193,726
59005,"Chilliwack--Hope/Chilliwack--Hope"," 160","Tzeachten 13",0,11,0,75,61,24,1,172,688
59005,"Chilliwack--Hope/Chilliwack--Hope"," 161","Tzeachten 13",0,2,0,53,30,8,0,93,414
59005,"Chilliwack--Hope/Chilliwack--Hope"," 162","Chilliwack",0,0,1,91,130,15,0,237,650
59005,"Chilliwack--Hope/Chilliwack--Hope"," 163","Chilliwack",0,3,1,72,125,15,0,216,668
59005,"Chilliwack--Hope/Chilliwack--Hope"," 164","Chilliwack",0,1,1,68,150,21,0,241,621
59005,"Chilliwack--Hope/Chilliwack--Hope"," 165","Chilliwack",0,1,1,54,105,9,0,170,505
59005,"Chilliwack--Hope/Chilliwack--Hope"," 166","Chilliwack",0,4,0,51,110,7,0,172,490
59005,"Chilliwack--Hope/Chilliwack--Hope"," 167","Chilliwack",1,6,0,51,120,4,2,184,489
59005,"Chilliwack--Hope/Chilliwack--Hope"," 168","Chilliwack",0,2,2,62,136,15,8,225,549
59005,"Chilliwack--Hope/Chilliwack--Hope"," 169","Haig",0,3,1,19,42,12,1,78,282
59005,"Chilliwack--Hope/Chilliwack--Hope"," 170","Hope",0,1,3,40,53,12,0,109,402
59005,"Chilliwack--Hope/Chilliwack--Hope"," 171","Hope",1,2,3,45,39,9,1,100,334
59005,"Chilliwack--Hope/Chilliwack--Hope"," 172","Hope",0,7,3,38,84,19,0,151,484
59005,"Chilliwack--Hope/Chilliwack--Hope"," 173","Hope",1,3,1,60,112,18,0,195,576
59005,"Chilliwack--Hope/Chilliwack--Hope"," 174","Hope",0,5,0,43,64,17,1,130,463
59005,"Chilliwack--Hope/Chilliwack--Hope"," 175","Hope",1,6,2,64,102,18,1,194,613
59005,"Chilliwack--Hope/Chilliwack--Hope"," 176","Hope",0,2,0,30,56,10,1,99,373
59005,"Chilliwack--Hope/Chilliwack--Hope"," 177","Hope",0,2,2,36,91,15,1,147,464
59005,"Chilliwack--Hope/Chilliwack--Hope"," 178","Hope",0,4,1,60,111,11,0,187,520
59005,"Chilliwack--Hope/Chilliwack--Hope"," 179","Soowahlie 14",0,1,2,56,21,24,0,104,216
59005,"Chilliwack--Hope/Chilliwack--Hope"," 180A","Lindell Beach",0,1,0,76,55,13,0,145,329
59005,"Chilliwack--Hope/Chilliwack--Hope"," 180B","Lindell Beach",0,4,0,45,68,9,0,126,279
59005,"Chilliwack--Hope/Chilliwack--Hope"," 181","Lindell Beach",1,5,2,59,109,17,3,196,447
59005,"Chilliwack--Hope/Chilliwack--Hope"," 182","Cultus Lake",0,6,2,105,131,26,0,270,609
59005,"Chilliwack--Hope/Chilliwack--Hope"," 183","Fraser Valley E",0,8,2,35,82,11,0,138,331
59005,"Chilliwack--Hope/Chilliwack--Hope"," 184","Chilliwack",0,14,3,100,144,15,0,276,466
59005,"Chilliwack--Hope/Chilliwack--Hope"," 185","Slesse Park",1,4,3,66,128,9,1,212,477
59005,"Chilliwack--Hope/Chilliwack--Hope"," 186","Hope",1,1,4,61,108,15,1,191,479
59005,"Chilliwack--Hope/Chilliwack--Hope"," 187","Floods",0,3,3,47,67,12,0,132,452
59005,"Chilliwack--Hope/Chilliwack--Hope"," 188","Laidlaw",0,4,1,33,143,9,1,191,454
59005,"Chilliwack--Hope/Chilliwack--Hope"," 188-1","Ohamil 1",1,0,0,5,6,11,0,23,31
59005,"Chilliwack--Hope/Chilliwack--Hope"," 188-2","Peters 1",Combined with No./Résultats combinés à ceux du n°189,,,,,,,,28
59005,"Chilliwack--Hope/Chilliwack--Hope"," 189","Silver Creek",0,9,2,26,78,15,2,132,367
59005,"Chilliwack--Hope/Chilliwack--Hope"," 400","Skowkale",Combined with No./Résultats combinés à ceux du n°87,,,,,,,,178
59005,"Chilliwack--Hope/Chilliwack--Hope"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,19
59005,"Chilliwack--Hope/Chilliwack--Hope"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,8
59005,"Chilliwack--Hope/Chilliwack--Hope"," 502","Mobile poll/Bureau itinérant",1,4,1,19,18,8,1,52,21
59005,"Chilliwack--Hope/Chilliwack--Hope"," 503","Mobile poll/Bureau itinérant",2,1,1,90,91,13,3,201,122
59005,"Chilliwack--Hope/Chilliwack--Hope"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,66
59005,"Chilliwack--Hope/Chilliwack--Hope"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,100
59005,"Chilliwack--Hope/Chilliwack--Hope"," 506","Mobile poll/Bureau itinérant",0,1,0,29,27,6,2,65,54
59005,"Chilliwack--Hope/Chilliwack--Hope"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,37
59005,"Chilliwack--Hope/Chilliwack--Hope"," 508","Mobile poll/Bureau itinérant",2,3,3,4,13,14,4,43,54
59005,"Chilliwack--Hope/Chilliwack--Hope"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,9
59005,"Chilliwack--Hope/Chilliwack--Hope"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,25
59005,"Chilliwack--Hope/Chilliwack--Hope"," 511","Mobile poll/Bureau itinérant",0,4,1,31,38,16,3,93,82
59005,"Chilliwack--Hope/Chilliwack--Hope"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,28
59005,"Chilliwack--Hope/Chilliwack--Hope"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,22
59005,"Chilliwack--Hope/Chilliwack--Hope"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,62
59005,"Chilliwack--Hope/Chilliwack--Hope"," 515","Mobile poll/Bureau itinérant",1,1,1,13,54,3,0,73,36
59005,"Chilliwack--Hope/Chilliwack--Hope"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,21
59005,"Chilliwack--Hope/Chilliwack--Hope"," 517","Mobile poll/Bureau itinérant",0,4,1,37,60,11,1,114,70
