id,type,item owner id,layer title,title,coordinates,description,image count,created date,last modification date,item views,Media Type,Transition Type,Date of Change,Owner,Community,Sources,Language
14,marker,-1,Newspapers,Lindsay Post,"44.3432311, -78.740066","The Quebecor-owned Lindsay Post ceased publication in 2013. At the time of closure it appeared twice per week on Tuesdays and Fridays. Back in May 2007, when the paper was owned by Osprey Media, the paper changed its name from The Daily Post to The Lindsay Post to reflect its change from publishing Monday to Friday to Tuesdays and Fridays.",0,2015-10-07 12:59,2016-06-16 16:52,178,community paper,closed,2013-06-13,Quebecor,"Lindsay, Ontario","[""http:\/\/www.cbc.ca\/news\/business\/sun-media-axes-11-newspapers-360-jobs-1.1385447""]","[""English""]"
15,marker,-1,Newspapers,Oakville Beaver,"43.467517, -79.6876659","On April 1, 2026, the Oakville Beaver began publishing a print edition again. The free monthly print editions are available to pick up from local businesses across the city. On September 15, 2023, Metroland announced that all of its 71 community newspapers would immediately shift to digital-only publications, including the Oakville Beaver. Nordstar put its Metroland Media Group division into creditor protection under the Bankruptcy and Insolvency Act as part of this restructuring plan that resulted in the loss of 605 jobs (approximately 60 per cent of its workforce), including 68 journalists. In September 2014 the Oakville Beaver cancelled its Wednesday edition and only published print editions on Thursdays and Fridays. The newspaper was founded in 1981.",0,2015-10-07 12:59,2026-04-01 19:28,288,community paper,increase in service,2026-04-01,Metroland,"Oakville, Ontario","[""https:\/\/oakvillenews.org\/news\/metroland-shutters-print-version-oakville-beaver\/"",""https:\/\/zoomerradio.ca\/news\/2023\/09\/15\/metroland-to-stop-weekly-community-paper-presses-keeps-dailies\/"",""https:\/\/www.cbc.ca\/news\/business\/torstar-metroland-nordstar-1.6968044"",""https:\/\/www.thestar.com\/business\/metroland-ends-print-editions-of-community-papers-flyers\/article_b5630346-56a9-50b0-99dd-7e4955065c14.html"",""https:\/\/www.cbc.ca\/news\/canada\/ottawa\/weekly-print-papers-cancelled-across-ontario-1.6968892"",""https:\/\/www.durhamregion.com\/news\/a-letter-to-our-readers\/article_ec8be637-c278-587b-a442-1c762720e04a.html"",""https:\/\/www.orilliamatters.com\/local-news\/metroland-announces-cutbacks-ends-orillia-today-print-edition-7554155"",""https:\/\/nationalpost.com\/news\/canada\/metroland-media-group-ends-publication-of-weekly-community-newspapers"",""https:\/\/www.insidehalton.com\/news\/burlington-post-oakville-beaver-print-editions\/article_22fdf057-83be-5aa9-a95c-95e707bb5306.html"",""https:\/\/www.thestar.com\/globenewswire\/local-news-returns-to-print-metroland-and-torstar-launch-monthly-print-newspapers-across-greater-toronto\/article_970b9d47-e4cf-5b65-935b-dcc38a59c204.html"",""https:\/\/www.theglobeandmail.com\/business\/article-metroland-brings-back-four-toronto-area-newspapers\/"",""https:\/\/www.thecanadianpressnews.ca\/business\/four-local-toronto-area-metroland-newspapers-make-a-print-comeback\/article_29255e53-e6a1-5c2f-bf4b-e53d0fae7688.html"",""https:\/\/nmc-mic.ca\/2026\/03\/27\/print-newspapers-in-halton-return-to-the-community\/""]","[""English""]"
16,marker,-1,Newspapers,Metro London,"42.9556842, -81.3500527","Metro London, a free daily paper launched by Metro Canada on April 4, 2011, closed in late 2014.",0,2015-10-07 12:59,2018-12-03 15:56,262,daily paper - free,closed,2014-12-09,Metroland,"London, Ontario","[""http:\/\/metronews.ca\/about\/""]","[""English""]"
17,marker,-1,Newspapers,Metro Regina,"50.4469849, -104.60473","In April 2012, Metro Canada launched Metro Regina with a daily print edition, website and mobile apps. It closed in the third quarter of 2014. ",0,2015-10-07 12:59,2017-12-17 18:33,213,daily paper - free,closed,2014-12-09,Metroland,"Regina, Saskatchewan","[""http:\/\/metronews.ca\/about\/""]","[""English""]"
18,marker,-1,Newspapers,Metro Saskatoon,"52.1332144, -106.6700458","In April 2012, Metro Canada launched Metro Saskatoon with a daily print edition, website and mobile apps. It closed in the third quarter of 2014. ",0,2015-10-07 12:59,2017-12-17 18:31,146,daily paper - free,closed,2014-12-09,Metroland,"Saskatoon, Saskatchewan","[""http:\/\/metronews.ca\/about\/""]","[""English""]"
19,marker,-1,Newspapers,Cape Breton Star,"46.1416025, -60.1929196",The  independently-owned Chronicle Herald launched the Cape Breton Star community newspaper in May 2014. The paper ceased publication in the fall of 2016. ,0,2015-10-07 12:59,2025-07-14 21:17,299,community paper,closed,2016-09-15,independent,"Cape Breton, Nova Scotia","[""http:\/\/www.theglobeandmail.com\/news\/national\/halifax-paper-starts-cape-breton-edition\/article18068932\/"",""http:\/\/www.cbc.ca\/news\/canada\/nova-scotia\/newspaper-chronicle-herald-community-paper-sydney-cape-breton-star-1.3763307"",""https:\/\/j-source.ca\/newspaper-war-brewing-as-chronicle-herald-expands-in-nova-scotia\/"",""https:\/\/www.cbc.ca\/news\/canada\/nova-scotia\/newspaper-chronicle-herald-community-paper-sydney-cape-breton-star-1.3763307""]","[""English""]"
20,marker,-1,Newspapers,Chronicle Herald,"44.6437566, -63.6227318","SaltWire Network stopped home delivery service for the Chronicle Herald in some rural communities in Nova Scotia on November 28, 2022. SaltWire Network announced on October 3 that its daily newspapers, including The Chronicle Herald, would be cutting their Monday print editions effective October 17, 2022. Digital versions of the newspapers will remain available online. Previously, The Chronicle Herald cancelled its Sunday edition on April 20, 2013, and offered an expanded weekend edition published on Saturdays. ",0,2015-10-07 12:59,2022-12-01 17:24,241,daily paper - paid,decrease in service,2022-11-28,SaltWire Network,"Halifax, Nova Scotia","[""http:\/\/j-source.ca\/article\/newspaper-war-brewing-chronicle-herald-expands-nova-scotia"",""https:\/\/www.cbc.ca\/news\/canada\/nova-scotia\/chronicle-herald-confirms-end-of-sunday-edition-1.1363252"",""https:\/\/www.saltwire.com\/atlantic-canada\/news\/saltwire-network-ceases-printing-monday-papers-for-daily-publications-100779510\/"",""https:\/\/www.cbc.ca\/news\/canada\/nova-scotia\/saltwire-network-monday-print-edition-ending-1.6605484"",""https:\/\/atlantic.ctvnews.ca\/saltwire-newspapers-in-atlantic-canada-to-stop-publishing-print-editions-on-mondays-1.6095362"",""https:\/\/www.thestar.com\/business\/2022\/10\/04\/saltwire-newspapers-in-atlantic-canada-to-stop-publishing-print-editions-on-mondays.html"",""https:\/\/toronto.citynews.ca\/2022\/10\/04\/saltwire-newspapers-in-atlantic-canada-to-stop-publishing-print-editions-on-mondays\/"",""https:\/\/ici.radio-canada.ca\/rci\/en\/news\/1922249\/saltwire-network-ending-monday-print-edition-for-4-atlantic-canada-newspapers"",""https:\/\/www.cbc.ca\/news\/canada\/nova-scotia\/saltwire-chronicle-herald-cancels-print-newspaper-rural-nova-scotia-1.5397457"",""https:\/\/www.halifaxexaminer.ca\/journalism\/saltwire-discontinues-at-least-some-rural-delivery\/"",""https:\/\/tnc.news\/2022\/11\/25\/local-journalism-ends-newspaper\/"",""https:\/\/canadatoday.news\/ns\/saltwire-is-halting-at-least-some-rural-deliveries-53588\/""]","[""English""]"
21,marker,-1,Newspapers,Ottawa RushHour,"45.3127426, -75.764658","Ottawa RushHour, a free daily paper launched by CanWest, closed in April 2008, after surviving for just over a year.",0,2015-10-07 12:59,2017-12-19 19:58,124,community paper,closed,2008-04-01,CanWest,"Ottawa, Ontario","[""http:\/\/fishwrap.ca\/newspaper_changelog.html""]","[""English""]"
22,marker,-1,Newspapers,Calgary RushHour,"51.045961, -114.07984","Calgary RushHour, a free daily paper launched by CanWest, closed in April 2008, after surviving for just over a year.",0,2015-10-07 12:59,2018-03-20 2:03,209,daily paper - free,closed,2008-04-01,CanWest,"Calgary, Alberta","[""http:\/\/www.newspaperinnovation.com\/index.php\/2009\/07\/27\/rushhour-silently-ended\/""]","[""English""]"
23,marker,-1,Newspapers,Edmonton RushHour,"53.544389, -113.4909267","Edmonton RushHour, a free daily paper launched by CanWest, closed in April 2008, after surviving for just over a year.",0,2015-10-07 12:59,2018-03-20 6:29,114,daily paper - free,closed,2008-04-01,CanWest,"Edmonton, Alberta","[""http:\/\/www.newspaperinnovation.com\/index.php\/2009\/07\/27\/rushhour-silently-ended\/""]","[""English""]"
24,marker,-1,Newspapers,24 Heures - Gatineau,"45.4762404, -75.7013092","Quebecor-owned 24 Heures Gatineau-Ottawa, a free daily newspaper, ceased publication on May 9, 2008.",0,2015-10-07 12:59,2018-12-03 6:15,135,daily paper - free,closed,2008-05-09,Quebecor,"Gatineau, Quebec","[""http:\/\/www.newspaperscanada.ca\/sites\/default\/files\/2009%20Daily%20Newspapers%20Circulation%20Report%20FINAL.xlsx""]","[""French""]"
26,marker,-1,Newspapers,Around the Block,"45.2733401, -66.0627864","Around the Block published its final issue in February 2024. The community newspaper was published every two months by the Human Development Council and was founded in October 2008. It featured articles written by local residents and community organizations, and served the five lowest-income neighbourhoods in Saint John, New Brunswick.",0,2015-10-07 12:59,2025-09-29 17:30,134,community paper,closed,2024-02-01,independent,"Saint John, New Brunswick","[""http:\/\/vibrantcanada.ca\/resource-library\/neighbourhood-revitalization-economic-development\/around-block-citizen-generated-co"",""https:\/\/issuu.com\/sjhdc\/docs\/atb_final_issue_93_-_the_final_issue"",""https:\/\/sjhdc.ca\/wp-content\/uploads\/2024\/02\/ATB-final-issue-93-the-final-issue.pdf"",""https:\/\/www.cbc.ca\/news\/canada\/new-brunswick\/around-the-block-saint-john-community-newspaper-funding-stops-1.7114494"",""https:\/\/www.cbc.ca\/player\/play\/video\/1.7115446""]","[""English""]"
27,marker,-1,Newspapers,Jasper Booster,"52.879137, -118.08579","Jasper Booster, a Sun Media-owned community newspaper, ceased publishing in March 2009. ",0,2015-10-07 12:59,2016-06-10 7:35,177,community paper,closed,2009-03-11,Sun Media,"Jasper, Alberta","[""http:\/\/j-source.ca\/article\/opinion-closure-community-newspapers-represents-darker-and-more-serious-trend"",""http:\/\/www.cbc.ca\/news\/canada\/calgary\/small-jasper-newspaper-folds-1.827667""]","[""English""]"
28,marker,-1,Newspapers,Morinville Redwater Town & Country Examiner,"53.9505839, -113.1088853",The Morinville Redwater Town and Country Examiner was born in November 2008 out of the merging of the Morinville Mirror and Redwater Tribune. The paper was shuttered several months later.,0,2015-10-07 12:59,2016-06-10 10:09,120,community paper,closed,2009-03-11,Sun Media,"Redwater, Alberta","[""http:\/\/j-source.ca\/article\/opinion-closure-community-newspapers-represents-darker-and-more-serious-trend"",""http:\/\/torontosunfamily.blogspot.ca\/2009\/03\/saying-goodbye.html""]","[""English""]"
32,marker,-1,Newspapers,Nelson Daily News,"49.490705, -117.29709",The final print run of the Nelson Daily News was in July 2010. The paper was shut down a few weeks after Black Press purchased it from Glacier Media.,0,2015-10-07 12:59,2016-06-16 6:45,239,community paper,closed,2010-07-16,Black Press,"Nelson, British Columbia","[""http:\/\/www.troymedia.com\/2010\/07\/15\/closing-of-two-small-bc-dailies-is-good-business-new-owners-say\/"",""https:\/\/en.wikipedia.org\/wiki\/Nelson_Daily_News""]","[""English""]"
33,marker,-1,Newspapers,Barrhaven Independent,"45.2784924, -75.757282","The Barrhaven Independent closed as part of a transition to launch a new community newspaper (Barrhaven Independent - Your Community Voice) that is part of the Your Community Voice chain of community newspapers in Ottawa. The last issue of the community newspaper was published on January 6, 2025. Previously, the newspaper was a weekly publication that moved to web-only publication in early 2012. It relaunched a print edition in February 2013, publishing twice per month. The newspaper had been serving the Barrhaven community in Ottawa since 1990.",0,2015-10-07 12:59,2025-07-31 21:28,117,community paper,closed,2025-01-10,independent,"Barrhaven, Ottawa, Ontario","[""Barrhaven Independent staff"",""Newspapers Canada Year in Review - 2012"",""https:\/\/barrhavenindependent.ca\/"",""https:\/\/issuu.com\/jmorris0"",""https:\/\/sites.google.com\/view\/your-community-voice\/manotick-barrhaven"",""https:\/\/drive.google.com\/file\/d\/1RqT0PjYHJZ_sKIdAtey3ysX5UF7PsOKT\/view""]","[""English""]"
34,marker,-1,Newspapers,Squamish Today,"49.7016339, -123.1558121",Squamish Today was a local free daily launched by Glacier Media in 2006.  It was closed in March 2008. ,0,2015-10-07 12:59,2016-06-15 12:11,218,daily paper - free,closed,2008-03-01,Glacier Media,"Squamish, British Columbia","[""http:\/\/www.newspaperinnovation.com\/index.php\/north-america\/canada\/"",""http:\/\/www.whistlerquestion.com\/news\/local-news\/a-new-daily-newspaper-for-whistler-1.1275947""]","[""English""]"
35,marker,-1,Newspapers,Whistler Today,"50.1187465, -122.94686",Whistler today  was a local free daily that launched by Glacier Media in 2006. It was closed March 2008.,0,2015-10-07 12:59,2016-06-15 12:10,186,daily paper - free,closed,2008-03-01,Glacier Media,"Whistler, British Columbia","[""http:\/\/www.newspaperinnovation.com\/index.php\/north-america\/canada\/"",""http:\/\/www.whistlerquestion.com\/news\/local-news\/a-new-daily-newspaper-for-whistler-1.1275947""]","[""English""]"
37,marker,-1,Newspapers,Saskatoon Express,"52.1615405, -106.6715158","Saskatoon Express, a weekly community newspaper covering hyperlocal news in Saskatoon, Saskatchewan, published its final edition on May 13, 2019. The newspaper launched on June 25, 2011.",0,2015-10-07 12:59,2025-03-27 3:07,178,community paper,closed,2019-05-13,independent,"Saskatoon, Saskatchewan","[""https:\/\/j-source.ca\/a-community-news-start-up-the-saskatoon-express\/"",""https:\/\/issuu.com\/saskatoon_express\/docs\/sx20190513a_02f73ba72396dc\/1"",""https:\/\/globalnews.ca\/news\/5277609\/saskatoon-express-newspaper-demise\/"",""https:\/\/thestarphoenix.com\/news\/local-news\/local-weekly-saskatoon-express-publishes-final-edition"",""http:\/\/yoursaskatoonnews.ca\/2019\/06\/01\/one-door-closes-and-another-opens\/"",""https:\/\/issuu.com\/saskatoon_express""]","[""English""]"
40,marker,-1,Newspapers,LaSalle Silhouette,"43.317431, -79.826372",The LaSalle Silhouette community paper closed in December 2011. ,0,2015-10-07 12:59,2017-12-19 19:43,160,community paper,closed,2011-12-15,Dunn Publishing,"La Salle, Ontario","[""http:\/\/blogs.windsorstar.com\/news\/tecumseh-weekly-goes-bust"",""http:\/\/blogs.windsorstar.com\/news\/74855""]","[""English""]"
41,marker,-1,Newspapers,Tecumseh Tribune,"42.3117966, -82.8857592",Tecumseh Tribune ceased publication at the beginning of 2012. ,0,2015-10-07 12:59,2017-12-19 19:38,95,community paper,closed,2012-01-19,Dunn Publishing,"Tecumseh, Ontario","[""http:\/\/blogs.windsorstar.com\/news\/tecumseh-weekly-goes-bust"",""http:\/\/blogs.windsorstar.com\/news\/74855""]","[""English""]"
42,marker,-1,Newspapers,Caledonia Regional News This Week,"43.0630162, -79.961512",The Caledonia Regional News This Week closed at the beginning of 2012.,0,2015-10-07 12:59,2017-12-19 19:41,83,community paper,closed,2012-02-10,independent,"Caledonia, Ontario","[""http:\/\/news.nationalpost.com\/full-comment\/christie-blatchford-caledonia-loses-brave-feisty-voice-as-regional-shuts-its-doors""]","[""English""]"
43,marker,-1,Newspapers,NewsNow,"43.1940802, -79.561288","NewsNow announced on May 9, 2014, that the newspaper would be expanding its website to offer more online content. The weekly community newspaper launched on May 4, 2012, and serves the Grimsby, Lincoln, West Lincoln and Winona communities in Ontario.",0,2015-10-07 12:59,2025-09-29 17:39,123,community paper,increase in service,2014-05-09,independent,"Grimsby, Lincoln, West Lincoln and Winona, Ontario","[""https:\/\/www.newsnowniagara.com\/2016\/02\/25\/thanks-for-all-the-support\/"",""https:\/\/www.newsnowniagara.com\/2014\/05\/09\/two-years-and-counting\/"",""https:\/\/issuu.com\/newsnowniagara\/docs\/140508_may_8_2014_full_edition""]","[""English""]"
44,marker,-1,Newspapers,The Montreal Mirror,"45.500212, -73.557509","The Montreal Mirror, a community newspaper owned by Sun Media, was closed in June 2012. ",0,2015-10-07 12:59,2016-06-16 11:44,130,community paper,closed,2012-06-22,Sun Media,"Montreal, Quebec","[""http:\/\/j-source.ca\/article\/why-we-should-care-when-community-newspaper-shuts-down"",""http:\/\/www.marketwired.com\/press-release\/montreal-mirror-to-end-publication-tsx-qbr.a-1672679.htm""]","[""English""]"
46,marker,-1,Newspapers,Edmonton Journal,"53.5400763, -113.4943651","Postmedia announced on September 21 that nine daily newspapers, including Edmonton Journal, would be cutting their Monday print editions effective October 17, 2022. Digital versions of the newspapers will remain available online. The Edmonton Journal previously cancelled its Sunday edition in June 2012.",0,2015-10-07 12:59,2022-11-30 1:21,156,daily paper - paid,decrease in service,2022-10-17,Postmedia,"Edmonton, Alberta","[""http:\/\/www.cbc.ca\/news\/canada\/edmonton\/edmonton-journal-cutting-sunday-paper-1.1163850"",""http:\/\/www.huffingtonpost.ca\/2012\/05\/28\/postmedia-cuts-layoffs_n_1551090.html"",""https:\/\/edmontonjournal.com\/news\/local-news\/to-our-readers"",""https:\/\/www.thestar.com\/news\/canada\/2022\/09\/21\/postmedia-to-stop-monday-print-edition-of-nine-major-dailies.html"",""https:\/\/www.cbc.ca\/news\/canada\/british-columbia\/postmedia-ends-monday-print-edition-newspapers-1.6591380"",""https:\/\/www.ctvnews.ca\/business\/postmedia-to-end-monday-print-edition-of-nine-urban-daily-newspapers-1.6078154"",""https:\/\/www.therecord.com\/ts\/news\/canada\/2022\/09\/21\/postmedia-to-stop-monday-print-edition-of-nine-major-dailies.html"",""https:\/\/mediaincanada.com\/2022\/09\/22\/nine-postmedia-newspapers-cancel-their-monday-print-editions\/""]","[""English""]"
47,marker,-1,Newspapers,Ottawa Citizen,"45.3524471, -75.782326","Postmedia announced on September 21 that nine daily newspapers, including Ottawa Citizen, would be cutting their Monday print editions effective October 17, 2022. Digital versions of the newspapers will remain available online.The Ottawa Citizen previously stopped publishing a Sunday edition in June 2012.",0,2015-10-07 12:59,2022-11-30 1:25,256,daily paper - paid,decrease in service,2022-10-17,Postmedia,"Ottawa, Ontario","[""http:\/\/www.cbc.ca\/news\/canada\/edmonton\/edmonton-journal-cutting-sunday-paper-1.1163850"",""http:\/\/www.huffingtonpost.ca\/2012\/05\/28\/postmedia-cuts-layoffs_n_1551090.html"",""https:\/\/ottawacitizen.com\/news\/local-news\/notice-to-ottawa-citizen-readers"",""https:\/\/www.thestar.com\/news\/canada\/2022\/09\/21\/postmedia-to-stop-monday-print-edition-of-nine-major-dailies.html"",""https:\/\/www.cbc.ca\/news\/canada\/british-columbia\/postmedia-ends-monday-print-edition-newspapers-1.6591380"",""https:\/\/www.ctvnews.ca\/business\/postmedia-to-end-monday-print-edition-of-nine-urban-daily-newspapers-1.6078154"",""https:\/\/www.therecord.com\/ts\/news\/canada\/2022\/09\/21\/postmedia-to-stop-monday-print-edition-of-nine-major-dailies.html"",""https:\/\/mediaincanada.com\/2022\/09\/22\/nine-postmedia-newspapers-cancel-their-monday-print-editions\/""]","[""English""]"
48,marker,-1,Newspapers,Gazeta (Toronto ed.),"43.6463441, -79.4490509","In February 2019, Gazeta stopped publishing all print editions and shifted to become an online publication. The Polish-language newspaper launched in 1987 and published a print edition three times per week, but it became a weekly in September 2014.",0,2015-10-07 12:59,2025-08-01 17:14,187,community paper,shifted to online,2019-02-01,independent,"Toronto, Ontario","[""http:\/\/www.gazetagazeta.com\/about-us\/"",""https:\/\/gazetagazeta.com\/artman\/publish\/"",""https:\/\/gazetagazeta.com\/gazeta-drukowana\/"",""https:\/\/gazetagazeta.com\/polcast\/""]","[""Other""]"
55,marker,-1,Newspapers,Amherstburg Echo,"42.1013779, -83.1086977","The Amherstburg Echo, one of the oldest newspapers in Canada, closed in October 2012. ",0,2015-10-07 12:59,2017-12-19 19:38,133,community paper,closed,2012-10-01,Sun Media,"Amherstburg, Ontario","[""http:\/\/blogs.windsorstar.com\/news\/leamington-post-windsor-this-week-shut-down"",""http:\/\/blogs.windsorstar.com\/news\/74855""]","[""English""]"
57,marker,-1,Newspapers,Capital City News,"45.4034127, -75.711064","On March 14, 2012, Sun Media launched Ottawa Capital City News, a weekly newspaper. It closed it in December 2012. ",0,2015-10-07 12:59,2016-06-16 11:44,146,community paper,closed,2012-12-01,Sun Media,"Ottawa, Ontario","[""http:\/\/www.saultthisweek.com\/2012\/03\/14\/sun-media-adds-four-new-papers-8"",""#REF!""]","[""English""]"
58,marker,-1,Newspapers,West Niagara News,"43.157097, -79.477015",West Niagara News was closed by Sun Media in November 2012. ,0,2015-10-07 12:59,2017-12-19 19:42,93,community paper,closed,2012-12-01,Sun Media,"Beamsville, Ontario","[""http:\/\/j-source.ca\/article\/why-we-should-care-when-community-newspaper-shuts-down"",""http:\/\/www.thespec.com\/news-story\/2125580-sun-media-shutters-two-niagara-news-outlets-in-one-week\/""]","[""English""]"
59,marker,-1,Newspapers,Guelph Review,"43.5304446, -80.224799","On March 14, 2012, Sun Media launched the Guelph Review, a weekly newspaper. It closed at the end of 2012.",0,2015-10-07 12:59,2018-03-20 7:15,179,community paper,closed,2012-12-01,Sun Media,"Guelph, Ontario","[""http:\/\/j-source.ca\/article\/why-we-should-care-when-community-newspaper-shuts-down"",""http:\/\/www.saultthisweek.com\/2012\/03\/14\/sun-media-adds-four-new-papers-8""]","[""English""]"
60,marker,-1,Newspapers,Kitchener-Waterloo Review (aka K-W Review),"43.4638529, -80.52071","On March 14, 2012, Sun Media launched the Kitchener-Waterloo Review, a weekly newspaper. It closed by the end of the year. ",0,2015-10-07 12:59,2022-01-23 7:52,255,community paper,closed,2012-12-01,Sun Media,"Waterloo, Ontario","[""http:\/\/j-source.ca\/article\/why-we-should-care-when-community-newspaper-shuts-down"",""http:\/\/www.saultthisweek.com\/2012\/03\/14\/sun-media-adds-four-new-papers-8""]","[""English""]"
61,marker,-1,Newspapers,Windsor This Week,"42.2899221, -83.076817","On March 14, 2012, Sun Media launched Windsor This Week, a weekly newspaper in Windsor, Ont.  It closed by the end of the year. ",0,2015-10-07 12:59,2018-03-20 7:08,107,community paper,closed,2012-03-14,Sun Media,"Windsor, Ontario","[""http:\/\/j-source.ca\/article\/opinion-closure-community-newspapers-represents-darker-and-more-serious-trend"",""http:\/\/www.saultthisweek.com\/2012\/03\/14\/sun-media-adds-four-new-papers-8""]","[""English""]"
